customer_id,total_orders,total_revenue,average_order_value
13668,35,12948.48,369.96
13316,10,12940.82,1294.08
13952,14,12823.52,915.97
16549,34,12781.8,375.94
17858,30,12754.9,425.16
16161,43,12744.26,296.38
12683,21,12696.78,604.61
12437,39,12683.4,325.22
12451,8,12669.88,1583.73
15465,32,12636.15,394.88
13013,29,12625.77,435.37
12536,3,12601.83,4200.61
14040,35,12523.81,357.82
15194,28,12427.69,443.85
14936,12,12410.81,1034.23
16000,3,12393.7,4131.23
12474,31,12372.75,399.12
12481,15,12344.89,822.99
13050,35,12314.53,351.84
14739,25,12287.5,491.5
13854,39,12253.96,314.2
14735,56,12240.16,218.57
16814,36,12198.14,338.84
13418,31,12182.9,393.0
15144,29,12160.31,419.32
15555,36,12062.69,335.07
15023,20,12008.05,600.4
14415,23,11980.09,520.87
17364,28,11972.92,427.6
17044,12,11962.3,996.86
13458,16,11959.27,747.45
16258,15,11942.52,796.17
16523,28,11916.33,425.58
17338,17,11889.33,699.37
14505,19,11879.08,625.21
18226,26,11878.88,456.88
12705,14,11762.1,840.15
14426,17,11727.94,689.88
13102,37,11696.92,316.13
13004,36,11650.85,323.63
13576,28,11551.74,412.56
15218,22,11468.83,521.31
13680,12,11419.67,951.64
14016,11,11403.41,1036.67
12668,10,11383.03,1138.3
17809,20,11337.39,566.87
14045,16,11313.03,707.06
15874,21,11284.76,537.37
12539,7,11214.75,1602.11
18055,14,11143.12,795.94
12524,17,11126.11,654.48
14134,15,11123.35,741.56
13941,15,11122.3,741.49
16985,23,10923.16,474.92
14796,27,10840.54,401.5
15694,24,10810.81,450.45
18229,28,10803.71,385.85
12431,27,10790.47,399.65
16033,27,10764.45,398.68
16327,16,10695.24,668.45
16168,66,10636.47,161.16
13324,18,10513.47,584.08
15290,26,10496.28,403.7
14028,3,10396.5,3465.5
16984,9,10350.53,1150.06
15296,12,10323.03,860.25
14422,19,10271.52,540.61
17160,17,10209.16,600.54
15719,31,10195.97,328.9
13599,33,10163.88,308.0
15805,30,10148.93,338.3
12839,26,10071.73,387.37
12766,9,10068.28,1118.7
15547,26,10057.05,386.81
14085,33,10028.72,303.9
13985,22,10020.86,455.49
16782,38,10000.32,263.17
16353,38,9999.46,263.14
14755,25,9972.55,398.9
16182,9,9971.65,1107.96
14101,13,9961.93,766.3
16131,12,9957.42,829.78
18260,23,9947.26,432.49
17049,19,9942.53,523.29
16701,26,9916.73,381.41
12758,7,9903.24,1414.75
14329,15,9887.62,659.17
13327,20,9879.48,493.97
12590,2,9864.26,4932.13
14828,13,9839.46,756.88
18109,38,9833.16,258.77
12490,21,9823.64,467.79
14944,19,9784.67,514.98
17306,21,9782.35,465.83
13018,35,9763.16,278.95
13735,13,9762.77,750.98
13267,36,9758.26,271.06
12380,11,9676.3,879.66
14135,24,9643.92,401.83
13069,38,9616.95,253.08
17315,43,9599.58,223.25
14091,2,9530.08,4765.04
17811,47,9519.8,202.55
14060,30,9519.08,317.3
13999,29,9502.26,327.66
17504,18,9490.17,527.23
15298,23,9459.37,411.28
14146,12,9450.3,787.52
14439,5,9443.04,1888.61
13758,15,9416.98,627.8
17230,18,9388.49,521.58
15727,15,9371.71,624.78
16550,18,9368.24,520.46
17757,56,9366.5,167.26
13174,12,9364.42,780.37
15981,21,9362.77,445.85
13162,16,9275.49,579.72
15249,18,9266.0,514.78
12747,26,9257.04,356.04
15570,25,9254.14,370.17
14367,16,9227.82,576.74
14292,16,9226.25,576.64
13448,13,9189.89,706.91
13756,23,9188.75,399.51
15260,25,9188.23,367.53
16700,25,9167.71,366.71
17068,47,9153.83,194.76
15939,16,9060.39,566.27
16709,14,9056.01,646.86
15867,31,9034.95,291.45
12755,11,9030.66,820.97
16186,26,9026.11,347.16
16722,22,8989.08,408.59
15150,13,8977.94,690.61
15903,12,8939.84,744.99
13555,13,8891.84,683.99
13269,28,8888.75,317.46
14709,25,8886.33,355.45
12359,10,8873.39,887.34
17576,41,8831.6,215.4
17396,14,8807.1,629.08
13047,24,8795.16,366.46
16532,5,8756.64,1751.33
12957,13,8706.97,669.77
13263,39,8676.2,222.47
15955,22,8658.36,393.56
15497,9,8657.39,961.93
18041,38,8633.66,227.2
16945,33,8548.16,259.04
15281,16,8543.57,533.97
15270,21,8524.86,405.95
15984,30,8515.72,283.86
12798,4,8510.93,2127.73
13209,13,8509.51,654.58
15786,5,8501.62,1700.32
13148,26,8497.82,326.84
14286,7,8479.76,1211.39
18139,6,8438.34,1406.39
13715,17,8425.69,495.63
14160,7,8421.47,1203.07
14676,12,8356.79,696.4
14057,22,8346.66,379.39
17611,28,8337.53,297.77
13206,13,8308.19,639.09
12643,12,8304.82,692.07
17686,9,8296.81,921.87
12637,12,8283.81,690.32
15998,16,8274.14,517.13
12720,30,8260.67,275.36
15034,14,8231.2,587.94
13381,12,8224.37,685.36
13139,8,8202.98,1025.37
14030,20,8198.3,409.91
17365,15,8184.49,545.63
13426,22,8167.38,371.24
15544,20,8162.43,408.12
14056,23,8152.71,354.47
16672,20,8134.94,406.75
14395,20,8110.61,405.53
17593,11,8092.32,735.67
17426,13,8077.77,621.37
16767,15,8056.76,537.12
16670,20,8030.15,401.51
14525,17,8026.54,472.15
16556,17,8012.58,471.33
13869,10,7996.87,799.69
15299,10,7991.54,799.15
12428,9,7956.46,884.05
16303,7,7928.27,1132.61
14291,23,7904.1,343.66
13871,17,7885.85,463.87
14159,20,7860.8,393.04
15622,17,7852.61,461.92
17085,28,7847.67,280.27
12757,13,7834.65,602.67
12867,13,7829.26,602.25
14282,25,7821.76,312.87
16592,28,7807.91,278.85
17409,10,7793.51,779.35
17091,19,7789.2,409.96
17730,20,7773.8,388.69
15581,38,7752.74,204.02
14800,17,7747.17,455.72
17739,18,7730.59,429.48
13534,35,7720.9,220.6
17238,32,7701.76,240.68
17696,27,7679.59,284.43
14175,8,7678.88,959.86
13141,17,7656.08,450.36
14688,28,7635.4,272.69
15046,25,7623.79,304.95
14145,7,7600.05,1085.72
13373,6,7587.19,1264.53
13137,16,7586.94,474.18
15301,17,7583.04,446.06
13709,18,7571.35,420.63
15179,13,7491.92,576.3
12429,8,7485.91,935.74
13815,8,7475.74,934.47
12841,40,7464.19,186.6
16570,20,7434.31,371.72
14243,17,7431.05,437.12
17690,20,7412.0,370.6
16242,14,7404.65,528.9
17602,14,7354.43,525.32
13082,21,7335.75,349.32
16253,7,7272.2,1038.89
14092,24,7229.45,301.23
16729,21,7205.33,343.11
12712,21,7193.66,342.56
16745,17,7180.7,422.39
14841,14,7163.0,511.64
17965,29,7157.2,246.8
15950,10,7120.91,712.09
15521,16,7098.24,443.64
14113,16,7092.61,443.29
13451,11,7090.06,644.55
13983,21,7083.25,337.3
17231,25,7064.8,282.59
17769,17,7053.38,414.9
13183,15,7036.18,469.08
17975,24,7010.43,292.1
16938,9,6995.36,777.26
13831,18,6993.54,388.53
12662,20,6988.02,349.4
16717,14,6970.93,497.92
13552,22,6948.92,315.86
15674,13,6948.23,534.48
16265,12,6935.17,577.93
16187,15,6911.44,460.76
13520,11,6909.4,628.13
12749,9,6897.36,766.37
16170,20,6869.0,343.45
15129,23,6860.18,298.27
18231,28,6854.17,244.79
16401,23,6849.15,297.79
12613,10,6817.37,681.74
12830,6,6814.64,1135.77
16145,19,6805.44,358.18
15413,5,6798.72,1359.74
12417,20,6797.41,339.87
14401,22,6795.9,308.9
15750,18,6793.51,377.42
16456,13,6788.34,522.18
13993,19,6775.71,356.62
12779,14,6722.27,480.16
15321,12,6709.73,559.14
14844,10,6702.43,670.24
14388,16,6701.0,418.81
12913,13,6700.86,515.45
13734,4,6695.69,1673.92
16497,23,6695.28,291.1
18118,29,6693.13,230.8
13384,11,6680.83,607.35
17700,14,6679.97,477.14
14702,29,6679.23,230.32
14461,13,6676.91,513.61
17001,19,6640.8,349.52
13953,12,6640.68,553.39
14440,13,6638.73,510.67
14562,26,6638.15,255.31
13394,19,6621.7,348.51
12626,9,6620.48,735.61
17819,12,6612.52,551.04
12843,30,6583.36,219.45
13015,11,6579.78,598.16
13883,15,6560.02,437.33
12836,15,6559.73,437.32
14766,11,6556.13,596.01
15332,6,6553.74,1092.29
15980,7,6543.68,934.81
14855,7,6520.3,931.47
14221,17,6517.49,383.38
17838,13,6507.5,500.58
12823,18,6501.5,361.19
17419,18,6500.52,361.14
18061,28,6488.97,231.75
13317,19,6486.09,341.37
17873,18,6470.28,359.46
14154,8,6460.7,807.59
16940,8,6427.66,803.46
16655,13,6423.26,494.1
12656,8,6407.83,800.98
15514,18,6392.06,355.11
18094,13,6391.52,491.66
12406,5,6390.36,1278.07
14390,13,6373.73,490.29
12356,6,6371.73,1061.95
14227,15,6368.71,424.58
12484,12,6354.1,529.51
13590,18,6336.04,352.0
18245,20,6324.98,316.25
14180,33,6319.25,191.49
13654,11,6308.0,573.45
16710,22,6291.77,285.99
15480,5,6279.0,1255.8
13136,13,6274.56,482.66
13615,8,6272.53,784.07
14004,11,6258.45,568.95
15369,11,6251.26,568.3
12497,3,6248.5,2082.83
17799,20,6246.93,312.35
16735,14,6217.41,444.1
13230,30,6213.46,207.12
15673,9,6204.32,689.37
13334,5,6201.8,1240.36
16103,22,6191.71,281.44
16156,20,6188.18,309.41
14534,26,6187.66,237.99
14907,16,6165.79,385.36
17669,10,6142.35,614.24
13266,19,6135.04,322.9
14852,18,6132.43,340.69
13935,3,6116.92,2038.97
14560,44,6114.03,138.96
18178,11,6103.74,554.89
14530,16,6088.87,380.55
17509,8,6083.64,760.45
16954,20,6081.88,304.09
12664,11,6070.04,551.82
17644,20,6028.6,301.43
13658,9,6025.5,669.5
15372,8,6017.06,752.13
15202,3,6001.49,2000.5
12835,41,5996.83,146.26
15755,17,5993.12,352.54
14105,5,5988.83,1197.77
17457,14,5984.81,427.49
17491,17,5981.07,351.83
17625,8,5978.9,747.36
14535,9,5973.23,663.69
15785,16,5969.93,373.12
14918,9,5955.81,661.76
12500,19,5955.21,313.43
14257,9,5954.45,661.61
17685,12,5907.47,492.29
15971,18,5902.83,327.94
12455,10,5879.95,588.0
18065,29,5866.63,202.3
14210,16,5861.52,366.34
17146,13,5852.64,450.2
16011,29,5838.96,201.34
14112,13,5834.59,448.81
14189,16,5814.39,363.4
13769,20,5800.42,290.02
12910,13,5796.52,445.89
17069,14,5794.28,413.88
18075,20,5783.29,289.16
17672,7,5778.63,825.52
14099,20,5750.91,287.55
15485,7,5750.51,821.5
17863,12,5745.2,478.77
16316,13,5744.91,441.92
12615,8,5740.98,717.62
13771,9,5728.82,636.54
13870,15,5712.08,380.81
16607,25,5706.87,228.27
17651,16,5703.52,356.47
16279,9,5698.28,633.14
16458,30,5690.89,189.7
13157,9,5687.36,631.93
12727,10,5679.53,567.95
12633,7,5678.16,811.17
13901,15,5676.34,378.42
16409,12,5652.74,471.06
15628,17,5652.26,332.49
13722,10,5635.41,563.54
12347,8,5633.32,704.16
13842,18,5629.91,312.77
16320,6,5628.99,938.16
16003,10,5613.83,561.38
18145,11,5609.74,509.98
16200,12,5608.1,467.34
16546,5,5606.47,1121.29
17059,9,5586.93,620.77
15228,6,5580.27,930.05
15854,21,5578.28,265.63
17203,10,5564.09,556.41
15527,23,5554.89,241.52
14572,11,5526.88,502.44
14732,19,5517.07,290.37
15898,25,5513.09,220.52
17092,11,5511.41,501.04
17204,9,5504.69,611.63
13115,10,5494.7,549.47
16609,7,5493.46,784.78
13593,14,5493.29,392.38
16393,23,5482.57,238.37
16992,13,5476.5,421.27
17512,18,5467.82,303.77
12480,7,5464.85,780.69
18198,17,5425.56,319.15
12378,2,5416.32,2708.16
14713,21,5414.71,257.84
14626,11,5410.92,491.9
14249,12,5400.46,450.04
17719,15,5396.04,359.74
17612,18,5394.86,299.71
13362,7,5394.07,770.58
13014,11,5381.08,489.19
14459,2,5375.74,2687.87
13495,10,5374.26,537.43
14442,7,5367.02,766.72
12362,11,5356.23,486.93
17567,9,5356.03,595.11
15641,12,5345.55,445.46
16008,15,5339.13,355.94
12708,18,5314.1,295.23
17584,6,5309.42,884.9
14081,10,5291.09,529.11
15394,11,5286.8,480.62
15152,14,5263.83,375.99
13931,11,5257.38,477.94
13975,12,5256.4,438.03
13107,9,5253.07,583.67
14930,6,5236.73,872.79
15722,11,5234.0,475.82
17061,11,5232.23,475.66
12422,17,5231.8,307.75
15606,17,5230.99,307.71
13763,3,5217.44,1739.15
15812,12,5201.47,433.46
14546,11,5184.84,471.35
16931,23,5184.27,225.4
17213,13,5182.3,398.64
12510,9,5178.02,575.34
17663,17,5175.83,304.46
15796,17,5171.63,304.21
12625,4,5164.88,1291.22
17157,19,5151.9,271.15
16153,11,5133.49,466.68
17346,26,5132.72,197.41
16308,7,5120.0,731.43
15443,14,5114.23,365.3
13329,8,5112.97,639.12
17519,15,5109.47,340.63
16919,24,5108.01,212.83
13523,6,5101.52,850.25
12483,19,5097.18,268.27
17402,23,5095.53,221.54
12594,15,5090.11,339.34
17861,18,5088.29,282.68
14493,10,5087.86,508.79
15367,11,5081.33,461.94
15529,12,5079.32,423.28
14307,10,5071.03,507.1
12395,15,5067.27,337.82
12432,5,5059.32,1011.86
18144,19,5058.0,266.21
17469,17,5051.25,297.13
17802,10,5046.42,504.64
12600,21,5043.92,240.19
13634,16,5033.77,314.61
12759,8,5020.74,627.59
16904,21,5014.06,238.76
12444,5,5005.46,1001.09
17084,3,5001.21,1667.07
14209,15,4993.27,332.88
14639,9,4978.96,553.22
13198,8,4974.23,621.78
12562,9,4966.92,551.88
17758,12,4964.03,413.67
16905,17,4961.17,291.83
12700,4,4939.99,1235.0
14970,12,4919.35,409.95
14825,24,4919.18,204.97
16143,12,4910.83,409.24
17314,17,4904.43,288.5
16255,15,4904.25,326.95
17406,13,4889.05,376.08
16986,11,4888.75,444.43
13021,17,4887.24,287.48
13659,12,4884.68,407.06
17596,13,4882.43,375.57
16686,16,4881.07,305.07
15379,8,4877.84,609.73
14107,11,4877.3,443.39
17449,13,4868.15,374.47
17652,12,4867.72,405.64
14032,16,4850.27,303.14
13044,11,4848.05,440.73
13562,8,4838.18,604.77
12449,6,4835.89,805.98
17191,15,4820.45,321.36
14191,15,4817.66,321.18
13875,14,4814.37,343.88
15187,16,4777.18,298.57
15002,9,4769.73,529.97
13988,8,4757.8,594.73
12955,11,4757.16,432.47
17829,5,4756.74,951.35
17082,6,4732.03,788.67
16326,24,4721.25,196.72
14235,9,4717.99,524.22
13958,8,4709.23,588.65
12589,8,4695.66,586.96
15410,10,4685.72,468.57
16858,10,4668.28,466.83
13971,14,4667.57,333.4
16293,15,4657.95,310.53
15123,5,4656.17,931.23
15484,6,4652.1,775.35
17050,11,4648.59,422.6
14466,13,4646.9,357.45
12578,4,4642.45,1160.61
13124,4,4641.66,1160.41
15271,24,4640.29,193.35
18097,11,4627.92,420.72
17400,8,4623.28,577.91
17442,15,4620.3,308.02
12782,11,4618.24,419.84
14441,11,4611.69,419.24
15245,8,4610.84,576.36
12553,12,4608.75,384.06
13851,8,4606.46,575.81
18257,12,4600.15,383.35
17188,13,4592.93,353.3
16125,14,4581.7,327.26
17508,8,4579.23,572.4
15416,7,4572.82,653.26
13491,27,4566.56,169.13
13510,11,4558.29,414.39
15365,13,4557.13,350.55
17613,14,4544.55,324.61
13527,12,4541.29,378.44
13571,26,4537.26,174.51
14685,8,4536.64,567.08
12598,11,4534.09,412.19
14001,9,4530.09,503.34
14290,8,4516.56,564.57
17308,2,4511.76,2255.88
15680,10,4507.58,450.76
15764,8,4503.08,562.88
14625,11,4497.88,408.9
15122,11,4487.27,407.93
14701,15,4487.11,299.14
18064,11,4481.83,407.44
12916,7,4479.73,639.96
12627,7,4478.53,639.79
14648,15,4466.65,297.78
18069,11,4464.92,405.9
16912,15,4460.51,297.37
15240,12,4459.98,371.66
17220,21,4457.31,212.25
17682,11,4456.78,405.16
18093,8,4452.71,556.59
14341,18,4452.02,247.33
17754,13,4451.22,342.4
13435,9,4447.33,494.15
16098,14,4441.3,317.24
16218,13,4439.97,341.54
16081,8,4436.56,554.57
17722,5,4430.36,886.07
12349,4,4428.69,1107.17
15845,11,4426.28,402.39
17412,16,4417.52,276.1
17138,7,4417.27,631.04
16626,17,4413.1,259.59
16563,6,4412.56,735.43
14211,18,4402.29,244.57
15203,15,4400.18,293.35
16150,10,4395.59,439.56
13505,4,4393.63,1098.41
13880,17,4391.66,258.33
16732,4,4387.64,1096.91
18272,9,4385.98,487.33
13982,9,4382.89,486.99
14514,9,4380.04,486.67
16455,11,4376.87,397.9
15861,12,4369.2,364.1
13297,7,4368.62,624.09
12917,6,4359.2,726.53
12523,23,4352.35,189.23
16283,8,4350.32,543.79
17372,28,4347.31,155.26
12408,8,4340.77,542.6
15633,13,4335.96,333.54
16477,11,4320.02,392.73
14334,12,4318.48,359.87
18259,7,4318.2,616.89
12370,7,4316.56,616.65
12967,3,4306.92,1435.64
14482,12,4306.72,358.89
12928,12,4304.89,358.74
14854,11,4303.06,391.19
17937,7,4301.22,614.46
18230,9,4291.06,476.78
18077,18,4283.66,237.98
17930,13,4275.22,328.86
16241,16,4270.51,266.91
14239,21,4263.17,203.01
14047,14,4255.03,303.93
12360,8,4252.89,531.61
16571,10,4248.74,424.87
12935,15,4243.86,282.92
17728,5,4238.76,847.75
13911,20,4234.99,211.75
16875,11,4234.53,384.96
16712,13,4232.87,325.61
16743,14,4212.15,300.87
15804,13,4206.39,323.57
15708,9,4204.44,467.16
18079,5,4203.93,840.79
15518,15,4189.99,279.33
15752,9,4184.56,464.95
14868,12,4184.01,348.67
17738,13,4183.56,321.81
18287,7,4182.99,597.57
16072,4,4180.09,1045.02
17218,18,4178.93,232.16
17673,13,4173.88,321.07
17526,12,4166.04,347.17
18194,6,4162.04,693.67
14740,11,4161.06,378.28
12653,3,4160.83,1386.94
13461,6,4160.0,693.33
16749,2,4157.88,2078.94
17646,12,4149.79,345.82
16209,9,4146.78,460.75
12569,32,4124.69,128.9
15493,9,4121.68,457.96
13450,13,4120.04,316.93
14408,11,4102.27,372.93
14566,4,4092.0,1023.0
15050,5,4087.19,817.44
12876,4,4081.79,1020.45
14878,25,4076.5,163.06
14913,8,4073.13,509.14
12371,5,4067.38,813.48
13421,8,4058.75,507.34
14025,8,4057.9,507.24
15024,16,4050.61,253.16
17083,9,4049.79,449.98
17287,21,4049.56,192.84
13048,9,4049.13,449.9
17211,13,4046.65,311.28
12840,7,4041.97,577.42
14824,10,4022.91,402.29
12726,11,4014.6,364.96
15782,4,4014.1,1003.52
16928,29,4013.78,138.41
12721,8,4013.08,501.63
13895,6,4008.52,668.09
16841,12,4006.06,333.84
17618,11,4001.64,363.79
17307,11,3999.89,363.63
13126,13,3998.25,307.56
15665,5,3987.07,797.41
14547,8,3974.75,496.84
15572,10,3965.2,396.52
17019,11,3961.11,360.1
14817,7,3959.86,565.69
13542,17,3959.49,232.91
16791,15,3957.63,263.84
17667,9,3950.7,438.97
16771,10,3949.6,394.96
16719,14,3944.35,281.74
15858,13,3936.34,302.8
15819,10,3934.79,393.48
17954,19,3933.06,207.0
12473,5,3928.05,785.61
15051,9,3926.91,436.32
14465,11,3925.85,356.9
15983,8,3924.02,490.5
13037,12,3914.95,326.25
12853,11,3907.5,355.23
13995,14,3902.01,278.71
12388,8,3901.11,487.64
14498,10,3900.83,390.08
15823,3,3897.17,1299.06
15571,14,3892.35,278.02
12358,5,3887.07,777.41
14744,14,3885.08,277.51
13446,11,3881.89,352.9
15696,13,3881.22,298.56
15288,10,3881.03,388.1
14655,7,3878.51,554.07
15067,5,3862.88,772.58
18073,12,3859.82,321.65
14565,5,3859.22,771.84
16440,6,3856.97,642.83
16057,10,3854.85,385.49
13213,11,3851.52,350.14
16341,7,3850.79,550.11
14532,11,3845.78,349.62
17659,14,3834.79,273.91
13481,11,3830.84,348.26
12597,4,3811.22,952.8
13357,5,3805.51,761.1
15421,10,3805.34,380.53
16636,4,3802.04,950.51
16128,11,3801.05,345.55
15827,28,3794.07,135.5
17071,13,3793.71,291.82
12619,10,3781.38,378.14
14309,11,3780.81,343.71
15811,7,3776.0,539.43
15079,11,3767.35,342.49
16466,15,3767.09,251.14
17173,8,3766.6,470.83
15834,7,3764.39,537.77
12670,7,3760.29,537.18
12530,9,3759.26,417.7
17553,4,3757.6,939.4
14409,9,3756.09,417.34
13305,16,3752.61,234.54
17293,17,3750.63,220.63
12623,7,3747.84,535.41
15370,8,3739.01,467.38
15532,10,3738.85,373.89
15704,6,3734.66,622.44
16539,10,3732.01,373.2
14515,12,3724.06,310.34
12502,5,3723.87,744.77
16240,2,3718.8,1859.4
14364,8,3717.35,464.67
16950,10,3713.77,371.38
12737,2,3710.5,1855.25
14540,11,3709.64,337.24
14776,15,3708.3,247.22
15255,9,3706.02,411.78
15351,10,3704.89,370.49
15494,5,3702.6,740.52
18168,16,3698.8,231.18
16772,3,3698.05,1232.68
17096,11,3697.93,336.18
16094,11,3695.56,335.96
12857,6,3688.0,614.67
12468,5,3670.74,734.15
14593,12,3665.53,305.46
12872,12,3662.49,305.21
16983,11,3654.02,332.18
17655,9,3652.48,405.83
14857,7,3651.85,521.69
14649,9,3651.19,405.69
14640,10,3649.36,364.94
15953,18,3648.08,202.67
13632,8,3645.81,455.73
17063,13,3638.53,279.89
14770,8,3637.64,454.7
16748,14,3637.33,259.81
16053,6,3634.84,605.81
17528,8,3628.5,453.56
16444,17,3625.88,213.29
16503,11,3614.34,328.58
16718,5,3612.13,722.43
15505,5,3610.96,722.19
15791,5,3608.34,721.67
18242,8,3605.21,450.65
13750,11,3602.18,327.47
12963,12,3601.59,300.13
16325,12,3597.5,299.79
17422,11,3594.76,326.8
14653,12,3593.06,299.42
14132,11,3586.03,326.0
15569,10,3583.45,358.35
17679,7,3577.61,511.09
17311,6,3566.56,594.43
18219,17,3562.89,209.58
17848,30,3559.11,118.64
14737,4,3554.17,888.54
15222,11,3550.91,322.81
14882,14,3546.65,253.33
14503,6,3543.26,590.54
12645,8,3539.3,442.41
17924,8,3536.7,442.09
16395,14,3518.41,251.31
16336,4,3517.69,879.42
15113,3,3509.43,1169.81
18044,18,3505.61,194.76
14934,5,3503.5,700.7
13929,11,3494.1,317.65
15059,19,3491.2,183.75
13577,11,3489.28,317.21
15306,9,3484.73,387.19
17597,5,3484.09,696.82
12631,6,3481.57,580.26
15380,11,3479.06,316.28
15712,12,3472.41,289.37
13849,5,3469.3,693.86
