customer_id,total_orders,total_revenue,average_order_value,first_purchase_date,last_purchase_date,days_since_last_purchase,repeat_customer_flag
16258,15,11942.52,796.17,2010-03-10,2011-10-25,46,1
16523,28,11916.33,425.58,2010-01-24,2011-12-08,2,1
17338,17,11889.33,699.37,2010-03-10,2011-11-22,18,1
13687,1,11880.84,11880.84,2010-09-27,2010-09-27,439,0
14505,19,11879.08,625.21,2009-12-09,2011-11-22,18,1
18226,26,11878.88,456.88,2010-03-05,2011-10-26,45,1
12705,14,11762.1,840.15,2010-06-24,2011-11-24,16,1
14426,17,11727.94,689.88,2010-03-04,2011-11-16,24,1
13102,37,11696.92,316.13,2010-05-06,2011-12-08,2,1
13004,36,11650.85,323.63,2009-12-15,2011-11-28,12,1
13576,28,11551.74,412.56,2009-12-08,2011-11-29,11,1
15218,22,11468.83,521.31,2010-01-26,2011-11-29,11,1
13680,12,11419.67,951.64,2009-12-04,2011-12-08,2,1
14016,11,11403.41,1036.67,2010-01-08,2011-07-01,162,1
12668,10,11383.03,1138.3,2010-01-31,2011-11-28,12,1
17809,20,11337.39,566.87,2009-12-02,2011-11-23,17,1
14045,16,11313.03,707.06,2010-01-08,2011-08-22,110,1
15874,21,11284.76,537.37,2010-01-07,2011-10-07,64,1
12539,7,11214.75,1602.11,2009-12-23,2011-11-17,23,1
18055,14,11143.12,795.94,2010-10-22,2011-12-02,8,1
12524,17,11126.11,654.48,2010-02-08,2011-11-30,10,1
14134,15,11123.35,741.56,2009-12-10,2010-11-22,383,1
13941,15,11122.3,741.49,2009-12-16,2011-11-18,22,1
12918,1,10953.5,10953.5,2010-03-23,2010-03-23,627,0
16985,23,10923.16,474.92,2009-12-10,2011-11-22,18,1
18052,1,10877.18,10877.18,2010-05-24,2010-05-24,565,0
14796,27,10840.54,401.5,2009-12-14,2011-12-08,2,1
15694,24,10810.81,450.45,2009-12-07,2011-12-09,1,1
18229,28,10803.71,385.85,2009-12-03,2011-11-28,12,1
12431,27,10790.47,399.65,2010-01-15,2011-11-04,36,1
16033,27,10764.45,398.68,2010-08-11,2011-12-04,6,1
16327,16,10695.24,668.45,2009-12-14,2011-11-25,15,1
16168,66,10636.47,161.16,2009-12-03,2011-11-29,11,1
13324,18,10513.47,584.08,2010-05-25,2011-11-03,37,1
15290,26,10496.28,403.7,2010-02-24,2011-12-05,5,1
14028,3,10396.5,3465.5,2010-06-07,2010-06-07,551,1
16984,9,10350.53,1150.06,2010-03-07,2011-09-12,89,1
15296,12,10323.03,860.25,2010-01-21,2011-10-20,51,1
14422,19,10271.52,540.61,2009-12-17,2011-12-09,1,1
17160,17,10209.16,600.54,2009-12-04,2011-11-08,32,1
15719,31,10195.97,328.9,2009-12-01,2011-11-07,33,1
13599,33,10163.88,308.0,2009-12-01,2011-12-08,2,1
15805,30,10148.93,338.3,2009-12-10,2011-11-16,24,1
12839,26,10071.73,387.37,2009-12-07,2011-12-07,3,1
12766,9,10068.28,1118.7,2010-10-28,2011-12-06,4,1
15547,26,10057.05,386.81,2009-12-06,2011-12-02,8,1
14085,33,10028.72,303.9,2009-12-08,2011-12-07,3,1
13985,22,10020.86,455.49,2010-02-09,2011-12-05,5,1
16782,38,10000.32,263.17,2009-12-09,2011-11-29,11,1
16353,38,9999.46,263.14,2009-12-07,2011-12-06,4,1
14755,25,9972.55,398.9,2009-12-03,2011-11-30,10,1
16182,9,9971.65,1107.96,2010-03-09,2011-09-28,73,1
14101,13,9961.93,766.3,2010-03-28,2011-09-27,74,1
16131,12,9957.42,829.78,2009-12-02,2011-10-19,52,1
18260,23,9947.26,432.49,2009-12-15,2011-06-20,173,1
17049,19,9942.53,523.29,2010-03-04,2011-12-07,3,1
16701,26,9916.73,381.41,2009-12-01,2011-12-01,9,1
12758,7,9903.24,1414.75,2009-12-01,2011-08-15,117,1
14329,15,9887.62,659.17,2009-12-16,2011-11-22,18,1
13327,20,9879.48,493.97,2009-12-18,2011-11-01,39,1
12590,2,9864.26,4932.13,2011-05-12,2011-05-12,212,1
14828,13,9839.46,756.88,2009-12-07,2011-05-27,197,1
18109,38,9833.16,258.77,2010-07-01,2011-12-08,2,1
12490,21,9823.64,467.79,2009-12-01,2011-12-04,6,1
14944,19,9784.67,514.98,2010-02-17,2011-11-10,30,1
17306,21,9782.35,465.83,2010-11-01,2011-11-29,11,1
13018,35,9763.16,278.95,2010-03-01,2011-11-23,17,1
13735,13,9762.77,750.98,2009-12-13,2011-11-15,25,1
13267,36,9758.26,271.06,2009-12-07,2011-12-07,3,1
12380,11,9676.3,879.66,2010-02-15,2011-11-18,22,1
14135,24,9643.92,401.83,2009-12-02,2011-12-08,2,1
13069,38,9616.95,253.08,2010-06-14,2011-12-09,1,1
17315,43,9599.58,223.25,2010-09-27,2011-12-08,2,1
14091,2,9530.08,4765.04,2010-01-10,2010-02-23,655,1
17811,47,9519.8,202.55,2010-09-20,2011-12-05,5,1
14060,30,9519.08,317.3,2010-03-11,2011-12-05,5,1
13999,29,9502.26,327.66,2009-12-05,2011-11-29,11,1
17504,18,9490.17,527.23,2010-02-08,2011-05-17,207,1
15298,23,9459.37,411.28,2009-12-08,2011-12-07,3,1
14146,12,9450.3,787.52,2010-01-13,2011-12-01,9,1
14439,5,9443.04,1888.61,2010-01-21,2011-01-24,320,1
13758,15,9416.98,627.8,2009-12-01,2011-11-28,12,1
17230,18,9388.49,521.58,2009-12-08,2011-03-20,265,1
15727,15,9371.71,624.78,2010-01-24,2011-11-23,17,1
16550,18,9368.24,520.46,2009-12-02,2011-08-23,109,1
17757,56,9366.5,167.26,2010-01-13,2011-12-08,2,1
13174,12,9364.42,780.37,2009-12-04,2011-11-23,17,1
15981,21,9362.77,445.85,2010-03-29,2011-11-15,25,1
13162,16,9275.49,579.72,2009-12-04,2011-08-09,123,1
15249,18,9266.0,514.78,2010-03-26,2011-11-08,32,1
12747,26,9257.04,356.04,2009-12-07,2011-12-07,3,1
15570,25,9254.14,370.17,2010-03-28,2011-12-02,8,1
14367,16,9227.82,576.74,2011-03-08,2011-12-01,9,1
14292,16,9226.25,576.64,2010-03-19,2011-12-02,8,1
13448,13,9189.89,706.91,2009-12-06,2011-11-23,17,1
13756,23,9188.75,399.51,2009-12-15,2011-12-07,3,1
15260,25,9188.23,367.53,2009-12-06,2011-08-31,101,1
16700,25,9167.71,366.71,2009-12-02,2011-12-01,9,1
17068,47,9153.83,194.76,2010-03-28,2011-11-27,13,1
15939,16,9060.39,566.27,2010-11-30,2011-09-11,90,1
16709,14,9056.01,646.86,2009-12-09,2011-09-16,85,1
15867,31,9034.95,291.45,2009-12-14,2011-12-04,6,1
12755,11,9030.66,820.97,2010-01-15,2011-03-04,281,1
16186,26,9026.11,347.16,2009-12-09,2011-11-17,23,1
16722,22,8989.08,408.59,2009-12-03,2011-11-22,18,1
15150,13,8977.94,690.61,2010-06-14,2011-11-22,18,1
15903,12,8939.84,744.99,2010-01-14,2011-11-30,10,1
13555,13,8891.84,683.99,2010-01-19,2011-09-27,74,1
13269,28,8888.75,317.46,2009-12-02,2011-12-08,2,1
14709,25,8886.33,355.45,2009-12-05,2011-11-24,16,1
12359,10,8873.39,887.34,2009-12-05,2011-10-13,58,1
17576,41,8831.6,215.4,2009-12-03,2011-12-01,9,1
17396,14,8807.1,629.08,2010-09-24,2011-10-31,40,1
13047,24,8795.16,366.46,2009-12-16,2011-11-08,32,1
16532,5,8756.64,1751.33,2010-03-29,2011-11-22,18,1
12957,13,8706.97,669.77,2009-12-11,2011-11-30,10,1
13263,39,8676.2,222.47,2010-10-22,2011-12-08,2,1
15955,22,8658.36,393.56,2010-02-23,2011-11-15,25,1
15497,9,8657.39,961.93,2009-12-18,2011-11-22,18,1
18041,38,8633.66,227.2,2010-01-14,2011-11-28,12,1
16945,33,8548.16,259.04,2009-12-09,2011-11-18,22,1
15281,16,8543.57,533.97,2010-10-08,2011-10-12,59,1
15270,21,8524.86,405.95,2009-12-17,2011-11-24,16,1
15984,30,8515.72,283.86,2009-12-01,2011-12-07,3,1
12798,4,8510.93,2127.73,2010-10-14,2011-11-29,11,1
13209,13,8509.51,654.58,2010-01-24,2011-11-09,31,1
15786,5,8501.62,1700.32,2010-06-21,2011-10-24,47,1
13148,26,8497.82,326.84,2009-12-07,2011-11-10,30,1
14286,7,8479.76,1211.39,2009-12-04,2011-11-16,24,1
18139,6,8438.34,1406.39,2011-11-21,2011-11-22,18,1
13715,17,8425.69,495.63,2010-03-11,2011-03-03,282,1
14160,7,8421.47,1203.07,2010-01-10,2010-04-08,611,1
14676,12,8356.79,696.4,2010-03-10,2011-11-08,32,1
14057,22,8346.66,379.39,2009-12-03,2011-11-16,24,1
17611,28,8337.53,297.77,2009-12-01,2011-12-02,8,1
13206,13,8308.19,639.09,2009-12-07,2010-11-04,401,1
12643,12,8304.82,692.07,2010-04-07,2011-08-03,129,1
17686,9,8296.81,921.87,2010-06-24,2011-12-02,8,1
12637,12,8283.81,690.32,2010-06-14,2011-10-03,68,1
15998,16,8274.14,517.13,2009-12-01,2011-11-03,37,1
12720,30,8260.67,275.36,2010-07-21,2011-12-07,3,1
15034,14,8231.2,587.94,2010-05-11,2011-11-24,16,1
13381,12,8224.37,685.36,2009-12-01,2011-11-08,32,1
13139,8,8202.98,1025.37,2010-09-28,2011-11-23,17,1
14030,20,8198.3,409.91,2009-12-10,2011-11-21,19,1
17365,15,8184.49,545.63,2010-02-01,2011-11-27,13,1
13426,22,8167.38,371.24,2009-12-09,2011-12-09,1,1
15544,20,8162.43,408.12,2010-01-28,2011-11-30,10,1
14056,23,8152.71,354.47,2011-02-28,2011-12-08,2,1
16672,20,8134.94,406.75,2011-03-18,2011-12-07,3,1
14395,20,8110.61,405.53,2010-04-18,2011-12-07,3,1
17593,11,8092.32,735.67,2009-12-04,2011-12-06,4,1
17426,13,8077.77,621.37,2010-02-17,2011-12-01,9,1
16767,15,8056.76,537.12,2010-04-28,2011-11-09,31,1
16670,20,8030.15,401.51,2009-12-10,2011-11-23,17,1
14525,17,8026.54,472.15,2009-12-13,2011-11-20,20,1
16556,17,8012.58,471.33,2009-12-07,2011-10-04,67,1
13869,10,7996.87,799.69,2010-01-17,2011-08-08,124,1
15299,10,7991.54,799.15,2010-01-12,2011-10-03,68,1
12428,9,7956.46,884.05,2011-03-01,2011-11-14,26,1
16303,7,7928.27,1132.61,2010-03-18,2011-11-14,26,1
14291,23,7904.1,343.66,2009-12-09,2011-12-08,2,1
13871,17,7885.85,463.87,2009-12-20,2011-11-17,23,1
14159,20,7860.8,393.04,2009-12-03,2011-11-20,20,1
15622,17,7852.61,461.92,2010-03-04,2011-10-27,44,1
17085,28,7847.67,280.27,2009-12-06,2011-08-08,124,1
12757,13,7834.65,602.67,2011-05-12,2011-11-24,16,1
12867,13,7829.26,602.25,2009-12-16,2011-11-13,27,1
14282,25,7821.76,312.87,2010-02-15,2011-12-06,4,1
16592,28,7807.91,278.85,2009-12-18,2011-12-05,5,1
17409,10,7793.51,779.35,2009-12-11,2011-06-08,185,1
17091,19,7789.2,409.96,2009-12-16,2011-12-07,3,1
17730,20,7773.8,388.69,2010-04-29,2011-12-06,4,1
15581,38,7752.74,204.02,2009-12-02,2011-08-11,121,1
14800,17,7747.17,455.72,2010-09-30,2011-10-23,48,1
17739,18,7730.59,429.48,2009-12-07,2011-11-28,12,1
13534,35,7720.9,220.6,2010-07-07,2011-12-07,3,1
17238,32,7701.76,240.68,2009-12-01,2011-12-07,3,1
17696,27,7679.59,284.43,2009-12-10,2011-11-01,39,1
14175,8,7678.88,959.86,2010-03-22,2011-10-11,60,1
13141,17,7656.08,450.36,2009-12-09,2011-09-16,85,1
14688,28,7635.4,272.69,2010-09-09,2011-12-02,8,1
15046,25,7623.79,304.95,2010-01-14,2011-11-30,10,1
14145,7,7600.05,1085.72,2010-04-08,2011-10-24,47,1
13373,6,7587.19,1264.53,2009-12-06,2011-10-10,61,1
13137,16,7586.94,474.18,2010-07-25,2011-11-29,11,1
15301,17,7583.04,446.06,2010-09-15,2011-10-20,51,1
13709,18,7571.35,420.63,2010-01-11,2011-12-06,4,1
15179,13,7491.92,576.3,2009-12-03,2011-11-21,19,1
12429,8,7485.91,935.74,2010-06-11,2011-11-30,10,1
13815,8,7475.74,934.47,2010-02-12,2011-11-17,23,1
12841,40,7464.19,186.6,2010-07-08,2011-12-05,5,1
16570,20,7434.31,371.72,2010-03-30,2011-11-24,16,1
14243,17,7431.05,437.12,2010-08-20,2011-12-01,9,1
17690,20,7412.0,370.6,2010-02-03,2011-11-09,31,1
16242,14,7404.65,528.9,2010-03-15,2011-12-01,9,1
17602,14,7354.43,525.32,2010-03-30,2011-12-07,3,1
13082,21,7335.75,349.32,2009-12-22,2011-08-05,127,1
16253,7,7272.2,1038.89,2009-12-08,2011-10-04,67,1
14092,24,7229.45,301.23,2009-12-16,2011-12-02,8,1
16729,21,7205.33,343.11,2011-04-12,2011-11-01,39,1
12712,21,7193.66,342.56,2009-12-09,2011-11-11,29,1
16745,17,7180.7,422.39,2011-02-01,2011-09-14,87,1
14841,14,7163.0,511.64,2009-12-02,2011-10-17,54,1
17965,29,7157.2,246.8,2009-12-14,2011-11-02,38,1
15950,10,7120.91,712.09,2010-01-26,2011-11-08,32,1
15521,16,7098.24,443.64,2010-01-05,2011-10-30,41,1
14113,16,7092.61,443.29,2009-12-08,2011-12-06,4,1
13451,11,7090.06,644.55,2010-03-21,2011-11-13,27,1
13983,21,7083.25,337.3,2009-12-09,2011-11-10,30,1
17231,25,7064.8,282.59,2009-12-07,2011-11-27,13,1
17769,17,7053.38,414.9,2010-01-19,2011-11-27,13,1
