stock_code,product_description,stock_line_type,total_quantity,total_revenue,order_count,customer_count,average_selling_price,active_months,first_sale_date,last_sale_date,quantity_rank,revenue_rank
82484,WOOD BLACK BOARD ANT WHITE FINISH,merchandise,10885,60449.79,1048,451,5.55,21,2010-04-11,2011-12-08,206,17
20725,LUNCH BAG RED SPOTTY,merchandise,38124,59980.2,2579,845,1.57,25,2009-12-01,2011-12-09,16,18
21843,RETRO SPOT CAKE STAND,merchandise,5864,59376.44,1279,599,10.13,25,2009-12-01,2011-12-08,441,19
22197,SMALL POPCORN HOLDER,merchandise,77933,59069.39,1752,601,0.76,25,2009-12-01,2011-12-09,7,20
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,merchandise,29471,57710.32,525,300,1.96,19,2009-12-01,2011-12-09,33,21
22502,PICNIC BASKET WICKER SMALL,merchandise,3120,54973.4,568,335,17.62,17,2010-05-23,2011-09-25,819,22
15056N,EDWARDIAN PARASOL NATURAL,merchandise,11023,54717.66,863,347,4.96,25,2009-12-01,2011-12-09,202,23
21621,VINTAGE UNION JACK BUNTING,merchandise,6528,54696.12,1121,583,8.38,24,2009-12-01,2011-12-06,387,24
85099C,JUMBO  BAG BAROQUE BLACK WHITE,merchandise,29351,52979.58,1449,506,1.81,25,2009-12-01,2011-12-09,35,25
22189,CREAM HEART CARD HOLDER,merchandise,18100,52575.94,1129,536,2.9,24,2009-12-01,2011-12-08,83,26
22470,HEART OF WICKER LARGE,merchandise,17823,52030.83,1743,827,2.92,21,2010-04-22,2011-12-08,85,27
21623,VINTAGE UNION JACK MEMOBOARD,merchandise,7154,51425.82,499,311,7.19,23,2010-02-28,2011-12-08,349,28
23084,RABBIT NIGHT LIGHT,merchandise,27153,51251.24,801,450,1.89,8,2011-05-10,2011-12-09,39,29
20914,SET/5 RED SPOTTY LID GLASS BOWLS,merchandise,18497,50904.23,1790,647,2.75,25,2009-12-01,2011-12-08,80,30
21733,RED HANGING HEART T-LIGHT HOLDER,merchandise,17604,49895.8,1631,744,2.83,25,2009-12-01,2011-12-08,86,31
21181,PLEASE ONE PERSON METAL SIGN,merchandise,24424,48377.1,1549,598,1.98,21,2009-12-01,2011-12-09,53,32
21931,JUMBO STORAGE BAG SUKI,merchandise,26225,48228.24,1714,546,1.84,25,2009-12-01,2011-12-09,41,33
22139,RETROSPOT TEA SET CERAMIC 11 PC,merchandise,10081,47658.9,1838,941,4.73,25,2009-12-01,2011-12-09,225,34
22112,CHOCOLATE HOT WATER BOTTLE,merchandise,10302,47437.04,1447,631,4.6,25,2009-12-01,2011-12-09,219,35
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,merchandise,17277,47189.87,1233,701,2.73,16,2010-09-19,2011-12-09,92,36
15056BL,EDWARDIAN PARASOL BLACK,merchandise,9442,46402.52,788,321,4.91,25,2009-12-01,2011-12-09,247,37
22178,VICTORIAN GLASS HANGING T-LIGHT,merchandise,37675,46216.01,1442,593,1.23,25,2009-12-01,2011-12-09,19,38
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,merchandise,24627,45658.53,1680,658,1.85,24,2010-01-29,2011-12-09,52,39
48194,DOORMAT HEARTS,merchandise,7544,45499.36,1138,516,6.03,25,2009-12-01,2011-12-08,328,40
71477,COLOURED GLASS STAR T-LIGHT HOLDER,merchandise,15481,45006.97,686,302,2.91,24,2009-12-01,2011-12-08,118,41
22469,HEART OF WICKER SMALL,merchandise,27159,44983.0,1779,886,1.66,21,2010-04-22,2011-12-09,38,42
48187,DOORMAT NEW ENGLAND,merchandise,7175,44526.49,1151,525,6.21,25,2009-12-01,2011-12-09,346,43
22111,SCOTTIE DOG HOT WATER BOTTLE,merchandise,9432,44112.6,1457,717,4.68,25,2009-12-01,2011-12-09,248,44
21212,PACK OF 72 RETROSPOT CAKE CASES,merchandise,91175,44018.94,2508,1115,0.48,25,2009-12-01,2011-12-08,4,45
21929,JUMBO BAG PINK VINTAGE PAISLEY,merchandise,24414,43850.6,1228,504,1.8,24,2009-12-01,2011-12-09,54,46
21754,HOME BUILDING BLOCK WORD,merchandise,7417,43532.81,1831,682,5.87,25,2009-12-01,2011-12-08,339,47
22138,BAKING SET 9 PIECE RETROSPOT,merchandise,9035,43070.91,1742,1137,4.77,25,2009-12-01,2011-12-09,263,48
21731,RED TOADSTOOL LED NIGHT LIGHT,merchandise,27848,42882.36,1043,415,1.54,25,2009-12-01,2011-12-09,36,49
21175,GIN AND TONIC DIET METAL SIGN,merchandise,20383,42382.64,1422,553,2.08,25,2009-12-01,2011-12-09,67,50
21928,JUMBO BAG SCANDINAVIAN PAISLEY,merchandise,23581,42268.38,1172,450,1.79,25,2009-12-01,2011-12-07,57,51
22090,PAPER BUNTING RETROSPOT,merchandise,15323,41923.69,1265,631,2.74,25,2009-12-01,2011-12-08,121,52
21232,STRAWBERRY CERAMIC TRINKET POT,merchandise,35684,41889.92,1893,689,1.17,25,2009-12-01,2011-12-08,22,53
21915,RED  HARMONICA IN BOX,merchandise,36994,41810.9,884,467,1.13,23,2009-12-04,2011-12-07,20,54
21523,FANCY FONT HOME SWEET HOME DOORMAT,merchandise,6665,41660.79,893,357,6.25,25,2009-12-01,2011-12-09,375,55
22326,ROUND SNACK BOXES SET OF4 WOODLAND,merchandise,14886,40975.02,1147,439,2.75,23,2010-01-07,2011-12-09,125,56
22457,NATURAL SLATE HEART CHALKBOARD,merchandise,14424,40956.12,1637,874,2.84,22,2010-03-04,2011-12-09,136,57
82494L,WOODEN FRAME ANTIQUE WHITE,merchandise,14663,40741.02,1773,631,2.78,25,2009-12-01,2011-12-08,129,58
20727,LUNCH BAG  BLACK SKULL.,merchandise,25738,40450.9,1997,705,1.57,25,2009-12-01,2011-12-09,44,59
48185,DOORMAT FAIRY CAKE,merchandise,6423,39647.53,736,317,6.17,25,2009-12-01,2011-12-08,390,60
22383,LUNCHBAG SUKI  DESIGN,merchandise,24204,38537.0,2004,664,1.59,24,2010-01-22,2011-12-08,55,61
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,merchandise,10370,38405.32,992,431,3.7,24,2009-12-01,2011-12-09,215,62
22328,ROUND SNACK BOXES SET OF 4 FRUITS,merchandise,14074,38114.34,990,401,2.71,24,2010-01-07,2011-12-09,140,63
23203,JUMBO BAG VINTAGE DOILY,merchandise,19498,37646.94,1080,505,1.93,8,2011-05-08,2011-12-09,76,64
84946,ANTIQUE SILVER TEA GLASS ETCHED,merchandise,32336,37613.53,1323,641,1.16,25,2009-12-01,2011-12-09,25,65
82482,WOODEN PICTURE FRAME WHITE FINISH,merchandise,15862,37529.05,1658,601,2.37,23,2009-12-01,2011-12-08,111,66
82486,WOOD S/3 CABINET ANT WHITE FINISH,merchandise,4741,37375.83,1188,365,7.88,25,2009-12-01,2011-12-09,563,67
21166,COOK WITH WINE METAL SIGN,merchandise,19768,37255.54,1225,475,1.88,24,2009-12-01,2011-12-08,70,68
20728,LUNCH BAG CARS BLUE,merchandise,23521,36982.33,1797,702,1.57,25,2009-12-01,2011-12-07,58,69
22629,SPACEBOY LUNCH BOX,merchandise,20631,36803.79,1108,456,1.78,18,2010-07-01,2011-12-09,65,70
84078A,SET/4 WHITE RETRO STORAGE CUBES,merchandise,1007,36259.65,234,151,36.01,25,2009-12-02,2011-12-04,1868,71
23298,SPOTTY BUNTING,merchandise,7779,36144.25,1009,573,4.65,8,2011-05-04,2011-12-09,315,72
22114,HOT WATER BOTTLE TEA AND SYMPATHY,merchandise,9283,36113.87,1298,626,3.89,20,2009-12-01,2011-12-09,256,73
23284,DOORMAT KEEP CALM AND COME IN,merchandise,5338,35880.85,648,378,6.72,9,2011-04-27,2011-12-08,499,74
22083,PAPER CHAIN KIT RETROSPOT,merchandise,13069,35802.21,1075,589,2.74,25,2009-12-01,2011-12-09,154,75
20713,JUMBO BAG OWLS,merchandise,19803,35765.42,920,371,1.81,23,2009-12-01,2011-12-09,69,76
85066,CREAM SWEETHEART MINI CHEST,merchandise,2977,35634.48,809,471,11.97,25,2009-12-01,2011-12-09,850,77
21485,RETROSPOT HEART HOT WATER BOTTLE,merchandise,7507,35303.73,1225,657,4.7,25,2009-12-01,2011-12-09,333,78
84029E,RED WOOLLY HOTTIE WHITE HEART.,merchandise,10226,35003.52,956,500,3.42,22,2009-12-01,2011-12-09,221,79
22960,JAM MAKING SET WITH JARS,merchandise,8689,34796.47,903,583,4.0,14,2010-11-28,2011-12-08,278,80
22699,TEACUP AND SAUCER REGENCY ROSES,merchandise,12349,33588.95,1070,524,2.72,17,2010-08-12,2011-12-09,175,81
21524,SPOTTY  HOME SWEET HOME DOORMAT,merchandise,5117,33563.54,1000,474,6.56,25,2009-12-01,2011-12-08,518,82
22720,SET OF 3 CAKE TINS PANTRY DESIGN,merchandise,7010,33298.3,1146,640,4.75,13,2010-12-13,2011-12-09,360,83
20726,LUNCH BAG WOODLAND,merchandise,21075,33267.11,1585,585,1.58,25,2009-12-01,2011-12-08,62,84
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,merchandise,9024,33234.38,932,433,3.68,25,2009-12-01,2011-12-09,264,85
22384,LUNCHBAG PINK RETROSPOT,merchandise,20445,32600.65,1845,681,1.59,24,2010-01-25,2011-12-08,66,86
22188,BLACK HEART CARD HOLDER,merchandise,12381,32375.59,487,292,2.61,24,2009-12-17,2011-12-08,173,87
21755,LOVE BUILDING BLOCK WORD,merchandise,5444,32039.56,1485,661,5.89,25,2009-12-01,2011-12-09,481,88
22727,ALARM CLOCK BAKELIKE RED,merchandise,8826,31880.59,1144,473,3.61,16,2010-09-24,2011-12-09,273,89
84997C,CHILDRENS CUTLERY POLKADOT BLUE,merchandise,8585,31724.27,883,426,3.7,25,2009-12-01,2011-12-09,280,90
22630,DOLLY GIRL LUNCH BOX,merchandise,17594,31386.94,998,423,1.78,18,2010-07-01,2011-12-08,88,91
22382,LUNCHBAG SPACEBOY DESIGN,merchandise,19607,31367.15,1919,790,1.6,24,2010-01-22,2011-12-08,74,92
85152,HAND OVER THE CHOCOLATE   SIGN,merchandise,16362,31049.85,1300,486,1.9,25,2009-12-01,2011-12-09,105,93
22385,JUMBO BAG SPACEBOY DESIGN,merchandise,16538,30082.4,971,412,1.82,24,2010-01-29,2011-12-08,102,94
48184,DOORMAT ENGLISH ROSE,merchandise,4645,29940.13,755,374,6.45,25,2009-12-01,2011-12-08,575,95
22622,BOX OF VINTAGE ALPHABET BLOCKS,merchandise,3117,29711.66,511,346,9.53,20,2010-05-07,2011-12-09,821,96
20712,JUMBO BAG WOODLAND ANIMALS,merchandise,15908,29463.55,915,387,1.85,24,2009-12-01,2011-12-08,110,97
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,merchandise,6049,29419.72,794,437,4.86,25,2009-12-01,2011-12-08,424,98
22865,HAND WARMER OWL DESIGN,merchandise,14537,29252.83,1058,566,2.01,15,2010-09-10,2011-12-09,132,99
20679,EDWARDIAN PARASOL RED,merchandise,6131,29122.82,622,271,4.75,25,2009-12-01,2011-12-08,413,100
82483,WOOD 2 DRAWER CABINET WHITE FINISH,merchandise,4967,28950.57,1053,361,5.83,24,2009-12-01,2011-12-08,532,101
15036,ASSORTED COLOURS SILK FAN,merchandise,41078,28829.32,634,303,0.7,25,2009-12-01,2011-12-02,13,102
47590B,PINK HAPPY BIRTHDAY BUNTING,merchandise,5681,28739.45,810,428,5.06,25,2009-12-07,2011-12-07,458,103
22379,RECYCLING BAG RETROSPOT,merchandise,14485,28330.88,1013,423,1.96,24,2010-01-25,2011-12-08,135,104
22659,LUNCHBOX I LOVE LONDON,merchandise,16016,28061.32,764,294,1.75,19,2010-03-14,2011-12-08,109,105
22752,SET 7 BABUSHKA NESTING BOXES,merchandise,3571,27955.09,577,323,7.83,17,2010-08-08,2011-12-08,722,106
22492,MINI PAINT SET VINTAGE  BOY+ GIRL,merchandise,44737,27788.29,635,363,0.62,20,2010-05-06,2011-12-08,12,107
22666,RECIPE BOX PANTRY YELLOW DESIGN,merchandise,9784,27736.52,1277,701,2.83,18,2010-07-09,2011-12-09,236,108
22077,6 RIBBONS RUSTIC CHARM,merchandise,16241,27385.79,1361,685,1.69,24,2009-12-01,2011-12-09,106,109
48188,DOORMAT WELCOME PUPPIES,merchandise,4774,27121.02,597,309,5.68,25,2009-12-01,2011-12-06,558,110
22467,GUMBALL COAT RACK,merchandise,11766,26832.23,928,398,2.28,21,2010-03-04,2011-12-09,190,111
21977,PACK OF 60 PINK PAISLEY CAKE CASES,merchandise,55101,26656.1,1578,767,0.48,25,2009-12-01,2011-12-08,10,112
23245,SET OF 3 REGENCY CAKE TINS,merchandise,5844,26566.28,718,472,4.55,7,2011-06-08,2011-12-09,445,113
20750,RED/WHITE DOT MINI CASES,merchandise,3689,26542.03,867,471,7.19,25,2009-12-01,2011-12-09,707,114
23199,JUMBO BAG APPLES,merchandise,13875,26426.3,718,344,1.9,9,2011-04-11,2011-12-09,142,115
72741,GRAND CHOCOLATECANDLE,merchandise,19664,26417.6,823,510,1.34,25,2009-12-01,2011-12-08,72,116
84991,60 TEATIME FAIRY CAKE CASES,merchandise,53320,26040.92,1765,822,0.49,25,2009-12-01,2011-12-08,11,117
22726,ALARM CLOCK BAKELIKE GREEN,merchandise,6961,25828.96,1041,404,3.71,15,2010-09-24,2011-12-09,362,118
21217,RED SPOTTY ROUND CAKE TINS,merchandise,2718,25790.1,768,423,9.49,25,2009-12-01,2011-12-09,915,119
22866,HAND WARMER SCOTTY DOG DESIGN,merchandise,12505,25148.46,939,530,2.01,13,2010-09-10,2011-12-08,167,120
22867,HAND WARMER BIRD DESIGN,merchandise,12431,25014.43,907,521,2.01,12,2010-09-10,2011-12-08,172,121
71459,HANGING JAM JAR T-LIGHT HOLDERS,merchandise,32124,25004.76,884,445,0.78,25,2009-12-02,2011-12-09,26,122
82600,NO SINGING METAL SIGN,merchandise,12588,24990.24,1005,385,1.99,25,2009-12-01,2011-12-09,163,123
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,merchandise,108929,24843.95,920,482,0.23,25,2009-12-01,2011-12-09,1,124
22624,IVORY KITCHEN SCALES,merchandise,2988,24729.08,1065,579,8.28,20,2010-05-04,2011-12-09,849,125
22149,FELTCRAFT 6 FLOWER FRIENDS,merchandise,12339,24584.79,1189,684,1.99,24,2009-12-02,2011-11-10,176,126
22697,TEACUP AND SAUCER REGENCY GREEN,merchandise,8884,24560.84,946,480,2.76,17,2010-08-12,2011-12-09,269,127
47566B,TEA TIME PARTY BUNTING,merchandise,5639,24380.85,655,350,4.32,24,2009-12-01,2011-12-04,463,128
23355,HOT WATER BOTTLE KEEP CALM,merchandise,5313,24302.55,719,474,4.57,5,2011-08-22,2011-12-09,503,129
23201,JUMBO BAG ALPHABET,merchandise,12533,24160.44,752,396,1.93,9,2011-04-11,2011-12-09,164,130
20972,PINK CREAM FELT CRAFT TRINKET BOX,merchandise,20244,24037.52,1224,568,1.19,25,2009-12-01,2011-12-08,68,131
22507,MEMO BOARD RETROSPOT  DESIGN,merchandise,5436,23985.32,737,445,4.41,22,2010-03-11,2011-12-08,482,132
20971,PINK BLUE FELT CRAFT TRINKET BOX,merchandise,20810,23914.44,1003,490,1.15,25,2009-12-01,2011-12-08,64,133
47590A,BLUE HAPPY BIRTHDAY BUNTING,merchandise,4754,23889.32,633,355,5.03,23,2009-12-02,2011-12-02,561,134
37503,TEA TIME CAKE STAND IN GIFT BOX,merchandise,2384,23784.8,465,256,9.98,9,2009-12-01,2010-08-01,1022,135
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,merchandise,39507,23759.71,1100,524,0.6,25,2009-12-01,2011-12-08,14,136
22551,PLASTERS IN TIN SPACEBOY,merchandise,14912,23671.8,1156,616,1.59,22,2010-03-25,2011-12-09,124,137
48111,DOORMAT 3 SMILEY CATS,merchandise,4098,23668.72,572,244,5.78,25,2009-12-01,2011-12-09,647,138
84836,ZINC METAL HEART DECORATION,merchandise,19521,23572.68,1244,662,1.21,25,2009-12-01,2011-12-08,75,139
21527,RETRO SPOT TRADITIONAL TEAPOT,merchandise,3295,23566.29,729,352,7.15,18,2009-12-01,2011-05-15,783,140
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,merchandise,12604,23506.22,408,325,1.86,25,2009-12-01,2011-12-09,162,141
22158,3 HEARTS HANGING DECORATION RUSTIC,merchandise,8337,23467.91,646,374,2.81,20,2009-12-03,2011-12-07,287,142
22961,JAM MAKING SET PRINTED,merchandise,16600,23391.8,903,558,1.41,15,2010-07-23,2011-12-08,100,143
82583,HOT BATHS METAL SIGN,merchandise,11896,23218.02,820,323,1.95,25,2009-12-01,2011-12-08,186,144
21930,JUMBO STORAGE BAG SKULLS,merchandise,12527,23198.18,997,386,1.85,25,2009-12-01,2011-12-08,165,145
22084,PAPER CHAIN KIT EMPIRE,merchandise,8473,23156.15,704,464,2.73,23,2009-12-02,2011-12-08,284,146
21080,SET/20 RED SPOTTY PAPER NAPKINS,merchandise,30192,23072.3,1671,798,0.76,25,2009-12-01,2011-12-08,32,147
23173,REGENCY TEAPOT ROSES,merchandise,2662,23033.52,354,248,8.65,8,2011-05-10,2011-12-09,930,148
48173C,DOORMAT BLACK FLOCK,merchandise,4054,22696.21,460,224,5.6,25,2009-12-01,2011-12-06,651,149
21481,FAWN BLUE HOT WATER BOTTLE,merchandise,7812,22594.4,834,439,2.89,25,2009-12-01,2011-12-09,312,150
84978,HANGING HEART JAR T-LIGHT HOLDER,merchandise,19138,22223.56,1087,525,1.16,25,2009-12-04,2011-12-08,78,151
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,merchandise,4658,22109.08,385,275,4.75,7,2011-06-08,2011-12-09,574,152
22835,HOT WATER BOTTLE I AM SO POORLY,merchandise,4786,22067.28,815,451,4.61,16,2010-09-12,2011-12-09,556,153
21231,SWEETHEART CERAMIC TRINKET BOX,merchandise,18680,22033.25,1171,500,1.18,24,2009-12-01,2011-12-08,79,154
84406B,CREAM CUPID HEARTS COAT HANGER,merchandise,6933,21985.75,724,318,3.17,25,2009-12-01,2011-12-05,363,155
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,merchandise,6037,21929.85,758,386,3.63,25,2009-12-01,2011-12-09,425,156
22113,GREY HEART HOT WATER BOTTLE,merchandise,5870,21891.07,913,488,3.73,17,2009-12-01,2011-12-09,440,157
22728,ALARM CLOCK BAKELIKE PINK,merchandise,5966,21868.73,772,357,3.67,16,2010-09-24,2011-12-09,426,158
22632,HAND WARMER RED RETROSPOT,merchandise,11001,21818.82,721,438,1.98,11,2010-09-20,2011-12-09,203,159
20749,ASSORTED COLOUR MINI CASES,merchandise,3053,21775.19,726,426,7.13,25,2009-12-01,2011-12-09,836,160
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,merchandise,3034,21745.72,544,269,7.17,25,2009-12-01,2011-12-09,844,161
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,merchandise,8850,21492.72,599,444,2.43,11,2010-09-16,2011-12-09,270,162
22087,PAPER BUNTING WHITE LACE,merchandise,7788,21442.55,663,314,2.75,20,2009-12-01,2011-12-09,314,163
85014A,BLACK/BLUE POLKADOT UMBRELLA,merchandise,4601,21382.94,640,361,4.65,25,2009-12-01,2011-12-06,579,164
22556,PLASTERS IN TIN CIRCUS PARADE,merchandise,13292,21247.16,1100,591,1.6,22,2010-03-25,2011-12-09,147,165
21955,UNION JACK GUNS & ROSES  DOORMAT,merchandise,3734,21213.38,576,279,5.68,25,2009-12-01,2011-12-07,695,166
22607,WOODEN ROUNDERS GARDEN SET,merchandise,2415,21068.02,643,419,8.72,19,2010-04-08,2011-12-08,1013,167
22969,HOMEMADE JAM SCENTED CANDLES,merchandise,14576,21003.4,577,472,1.44,14,2010-11-21,2011-12-08,131,168
22605,WOODEN CROQUET GARDEN SET,merchandise,1723,20990.56,548,377,12.18,21,2010-04-08,2011-12-08,1350,169
23202,JUMBO BAG VINTAGE LEAF,merchandise,10695,20921.55,772,377,1.96,8,2011-05-08,2011-12-08,209,170
21314,SMALL GLASS HEART TRINKET POT,merchandise,10592,20880.76,711,369,1.97,25,2009-12-01,2011-12-09,212,171
22554,PLASTERS IN TIN WOODLAND ANIMALS,merchandise,13039,20826.43,1097,587,1.6,22,2010-03-25,2011-12-09,155,172
22585,PACK OF 6 BIRDY GIFT TAGS,merchandise,17506,20798.63,950,612,1.19,22,2010-03-10,2011-12-09,90,173
23209,LUNCH BAG VINTAGE DOILY,merchandise,12985,20786.21,1006,469,1.6,8,2011-05-08,2011-12-08,156,174
21210,SET OF 72 RETROSPOT PAPER  DOILIES,merchandise,14853,20754.02,931,508,1.4,24,2009-12-01,2011-12-08,126,175
22698,TEACUP AND SAUCER REGENCY PINK,merchandise,7553,20716.59,755,402,2.74,16,2010-08-12,2011-12-09,327,176
20724,RED SPOTTY CHARLOTTE BAG,merchandise,25955,20621.35,1495,524,0.79,25,2009-12-01,2011-12-09,43,177
20711,JUMBO BAG TOYS,merchandise,11467,20528.73,671,326,1.79,24,2009-12-01,2011-11-28,197,178
22722,SET OF 6 SPICE TINS PANTRY DESIGN,merchandise,5366,20506.3,654,394,3.82,13,2010-11-11,2011-12-08,493,179
37449,CERAMIC CAKE STAND + HANGING CAKES,merchandise,2308,20501.43,410,205,8.88,23,2009-12-01,2011-12-07,1048,180
21936,RED/WHITE SPOT PICNIC BAG,merchandise,7393,20466.91,783,396,2.77,25,2009-12-03,2011-12-07,340,181
21790,VINTAGE SNAP CARDS,merchandise,25727,20426.49,1480,793,0.79,25,2009-12-01,2011-12-09,45,182
22617,BAKING SET SPACEBOY DESIGN,merchandise,4298,20310.36,883,600,4.73,22,2010-03-14,2011-12-09,616,183
22941,CHRISTMAS LIGHTS 10 REINDEER,merchandise,2566,20262.4,406,315,7.9,11,2010-10-21,2011-12-09,968,184
21791,VINTAGE HEADS AND TAILS CARD GAME,merchandise,17090,20138.28,1050,641,1.18,25,2009-12-01,2011-12-08,96,185
84970S,HANGING HEART ZINC T-LIGHT HOLDER,merchandise,25679,20038.22,1141,616,0.78,25,2009-12-01,2011-12-06,47,186
22294,HEART FILIGREE DOVE  SMALL,merchandise,16494,19979.1,707,414,1.21,25,2009-12-01,2011-12-06,104,187
22570,FELTCRAFT CUSHION RABBIT,merchandise,5575,19855.16,677,351,3.56,21,2010-03-10,2011-11-18,468,188
22568,FELTCRAFT CUSHION OWL,merchandise,5502,19814.71,771,389,3.6,22,2010-03-10,2011-12-07,475,189
22625,RED KITCHEN SCALES,merchandise,2431,19732.73,781,440,8.12,20,2010-05-04,2011-12-09,1004,190
22569,FELTCRAFT CUSHION BUTTERFLY,merchandise,5540,19534.18,679,360,3.53,20,2010-03-10,2011-10-25,472,191
22273,FELTCRAFT DOLL MOLLY,merchandise,7238,19436.18,701,423,2.69,25,2009-12-01,2011-12-08,343,192
85150,LADIES & GENTLEMEN METAL SIGN,merchandise,8218,19204.98,889,369,2.34,23,2009-12-01,2011-12-08,293,193
84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,merchandise,5169,19119.65,544,278,3.7,24,2009-12-01,2011-12-08,512,194
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,merchandise,2580,19044.0,432,309,7.38,19,2009-12-01,2011-12-07,962,195
22413,METAL SIGN TAKE IT OR LEAVE IT,merchandise,6865,19013.47,766,446,2.77,24,2010-01-29,2011-12-08,364,196
22558,CLOTHES PEGS RETROSPOT PACK 24,merchandise,13851,19002.59,1017,541,1.37,19,2010-04-14,2011-12-08,143,197
22501,PICNIC BASKET WICKER LARGE,merchandise,2064,18883.8,497,346,9.15,19,2010-05-21,2011-11-06,1176,198
48129,DOORMAT TOPIARY,merchandise,3084,18867.96,488,251,6.12,25,2009-12-01,2011-12-08,828,199
48116,DOORMAT MULTICOLOUR STRIPE,merchandise,3314,18843.71,385,186,5.69,25,2009-12-01,2011-12-08,781,200
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,merchandise,17266,18828.98,281,197,1.09,17,2010-08-05,2011-12-09,93,201
22633,HAND WARMER UNION JACK,merchandise,9294,18711.36,790,473,2.01,11,2010-10-07,2011-12-09,255,202
21622,VINTAGE UNION JACK CUSHION COVER,merchandise,3546,18639.02,550,329,5.26,25,2009-12-01,2011-12-07,725,203
21559,STRAWBERRY LUNCHBOX WITH CUTLERY,merchandise,7881,18624.59,951,396,2.36,25,2009-12-02,2011-12-09,308,204
22555,PLASTERS IN TIN STRONGMAN,merchandise,11604,18562.64,867,521,1.6,22,2010-03-25,2011-12-09,193,205
21121,SET/10 RED SPOTTY PARTY CANDLES,merchandise,15450,18528.18,788,466,1.2,25,2009-12-01,2011-12-09,119,206
21213,PACK OF 72 SKULL CAKE CASES,merchandise,38757,18444.03,1156,528,0.48,25,2009-12-01,2011-12-07,15,207
84949,SILVER HANGING T-LIGHT HOLDER,merchandise,11911,18427.95,612,330,1.55,25,2009-12-01,2011-12-08,185,208
21908,CHOCOLATE THIS WAY METAL SIGN,merchandise,9544,18340.04,801,382,1.92,25,2009-12-01,2011-12-09,243,209
22499,WOODEN UNION JACK BUNTING,merchandise,3175,18310.78,632,452,5.77,23,2010-02-02,2011-12-06,809,210
21479,WHITE SKULL HOT WATER BOTTLE,merchandise,4916,18265.7,738,410,3.72,17,2009-12-01,2011-12-09,537,211
23206,LUNCH BAG APPLE DESIGN,merchandise,11530,18220.5,866,401,1.58,9,2011-04-11,2011-12-08,194,212
22561,WOODEN SCHOOL COLOURING SET,merchandise,11285,18070.77,838,556,1.6,22,2010-03-25,2011-12-09,199,213
