stock_code,product_description,sale_quarter,quantity_sold,revenue,order_count,customer_count
15044B,BLUE PAPER PARASOL,2010-Q2,1032,2714.8,53,47
15044B,BLUE PAPER PARASOL,2010-Q3,196,538.2,25,21
15044B,BLUE PAPER PARASOL,2010-Q4,30,88.5,10,8
15044B,BLUE PAPER PARASOL,2011-Q1,106,292.7,9,8
15044B,BLUE PAPER PARASOL,2011-Q2,168,475.6,31,27
15044B,BLUE PAPER PARASOL,2011-Q3,31,91.45,6,6
15044C,PURPLE PAPER PARASOL,2009-Q4,2,5.9,2,2
15044C,PURPLE PAPER PARASOL,2010-Q1,113,308.55,19,18
15044C,PURPLE PAPER PARASOL,2010-Q2,238,672.5,44,37
15044C,PURPLE PAPER PARASOL,2010-Q3,216,597.2,28,23
15044C,PURPLE PAPER PARASOL,2010-Q4,30,88.5,9,9
15044C,PURPLE PAPER PARASOL,2011-Q1,86,233.7,8,8
15044C,PURPLE PAPER PARASOL,2011-Q2,79,233.05,24,21
15044C,PURPLE PAPER PARASOL,2011-Q3,76,224.2,15,14
15044C,PURPLE PAPER PARASOL,2011-Q4,23,67.85,11,11
15044D,RED PAPER PARASOL,2009-Q4,12,35.4,5,5
15044D,RED PAPER PARASOL,2010-Q1,206,558.1,21,17
15044D,RED PAPER PARASOL,2010-Q2,380,1051.4,48,41
15044D,RED PAPER PARASOL,2010-Q3,294,807.3,32,23
15044D,RED PAPER PARASOL,2010-Q4,23,67.85,9,9
15044D,RED PAPER PARASOL,2011-Q1,170,461.5,13,13
15044D,RED PAPER PARASOL,2011-Q2,127,374.65,30,24
15044D,RED PAPER PARASOL,2011-Q3,228,615.8,18,17
15044D,RED PAPER PARASOL,2011-Q4,104,280.84,12,12
15056BL,EDWARDIAN PARASOL BLACK,2009-Q4,2185,8632.75,66,48
15056BL,EDWARDIAN PARASOL BLACK,2010-Q1,1641,7273.95,109,72
15056BL,EDWARDIAN PARASOL BLACK,2010-Q2,466,2532.7,65,57
15056BL,EDWARDIAN PARASOL BLACK,2010-Q3,1157,6138.15,130,73
15056BL,EDWARDIAN PARASOL BLACK,2010-Q4,1397,7671.15,155,115
15056BL,EDWARDIAN PARASOL BLACK,2011-Q1,424,2402.8,51,35
15056BL,EDWARDIAN PARASOL BLACK,2011-Q2,401,2201.95,54,42
15056BL,EDWARDIAN PARASOL BLACK,2011-Q3,988,5312.2,86,60
15056BL,EDWARDIAN PARASOL BLACK,2011-Q4,783,4236.87,72,53
15056N,EDWARDIAN PARASOL NATURAL,2009-Q4,1641,5953.95,47,32
15056N,EDWARDIAN PARASOL NATURAL,2010-Q1,1495,6525.25,91,63
15056N,EDWARDIAN PARASOL NATURAL,2010-Q2,1600,8407.6,122,96
15056N,EDWARDIAN PARASOL NATURAL,2010-Q3,1447,7750.25,126,79
15056N,EDWARDIAN PARASOL NATURAL,2010-Q4,1150,6131.9,124,93
15056N,EDWARDIAN PARASOL NATURAL,2011-Q1,858,4560.3,93,67
15056N,EDWARDIAN PARASOL NATURAL,2011-Q2,892,4825.9,87,68
15056N,EDWARDIAN PARASOL NATURAL,2011-Q3,1434,7719.81,112,82
15056N,EDWARDIAN PARASOL NATURAL,2011-Q4,506,2842.7,61,49
15056P,EDWARDIAN PARASOL PINK,2009-Q4,709,2388.55,11,11
15056P,EDWARDIAN PARASOL PINK,2010-Q1,129,731.55,33,29
15056P,EDWARDIAN PARASOL PINK,2010-Q2,217,1231.15,46,41
15056P,EDWARDIAN PARASOL PINK,2010-Q3,349,1822.55,49,31
15056P,EDWARDIAN PARASOL PINK,2010-Q4,389,2064.95,57,51
15056P,EDWARDIAN PARASOL PINK,2011-Q1,75,446.25,25,24
15056P,EDWARDIAN PARASOL PINK,2011-Q2,199,1064.05,25,23
15056P,EDWARDIAN PARASOL PINK,2011-Q3,270,1538.4,43,37
15056P,EDWARDIAN PARASOL PINK,2011-Q4,152,835.91,32,27
15058A,BLUE WHITE SPOTS GARDEN PARASOL,2010-Q1,6,47.7,4,4
15058A,BLUE WHITE SPOTS GARDEN PARASOL,2010-Q2,245,1199.75,44,35
15058A,BLUE WHITE SPOTS GARDEN PARASOL,2010-Q3,20,147.0,7,7
15058A,BLUE POLKADOT GARDEN PARASOL,2010-Q4,1,7.95,1,1
15058A,BLUE POLKADOT GARDEN PARASOL,2011-Q1,8,63.6,4,2
15058A,BLUE POLKADOT GARDEN PARASOL,2011-Q2,103,758.85,30,24
15058A,BLUE POLKADOT GARDEN PARASOL,2011-Q3,33,250.35,14,12
15058A,BLUE POLKADOT GARDEN PARASOL,2011-Q4,3,23.85,2,2
15058B,PINK WHITE SPOTS GARDEN PARASOL,2010-Q1,8,63.6,6,4
15058B,PINK WHITE SPOTS GARDEN PARASOL,2010-Q2,156,828.2,36,32
15058B,PINK WHITE SPOTS GARDEN PARASOL,2010-Q3,16,115.2,5,5
15058B,PINK POLKADOT GARDEN PARASOL,2010-Q4,7,55.65,4,4
15058B,PINK POLKADOT GARDEN PARASOL,2011-Q1,9,71.55,3,3
15058B,PINK POLKADOT GARDEN PARASOL,2011-Q2,75,560.25,26,21
15058B,PINK POLKADOT GARDEN PARASOL,2011-Q3,29,218.55,10,8
15058B,PINK POLKADOT GARDEN PARASOL,2011-Q4,1,7.95,1,1
15058C,ICE CREAM DESIGN GARDEN PARASOL,2010-Q1,4,31.8,3,3
15058C,ICE CREAM DESIGN GARDEN PARASOL,2010-Q2,167,807.65,28,24
15058C,ICE CREAM DESIGN GARDEN PARASOL,2010-Q3,48,221.6,9,9
15058C,ICE CREAM DESIGN GARDEN PARASOL,2010-Q4,1,7.95,1,1
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-Q1,17,95.15,4,4
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-Q2,146,640.7,19,18
15058C,ICE CREAM DESIGN GARDEN PARASOL,2011-Q3,30,158.5,7,7
15059A,ENGLISH ROSE EDWARDIAN PARASOL,2009-Q4,505,1515.0,1,1
15060B,FAIRY CAKE DESIGN UMBRELLA,2009-Q4,65,243.75,19,17
15060B,FAIRY CAKE DESIGN UMBRELLA,2010-Q1,116,435.0,35,32
15060B,FAIRY CAKE DESIGN UMBRELLA,2010-Q2,110,412.5,28,25
15060B,FAIRY CAKE DESIGN UMBRELLA,2010-Q3,172,645.0,47,40
15060B,FAIRY CAKE DESIGN UMBRELLA,2010-Q4,327,1159.05,63,55
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-Q1,70,252.9,20,17
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-Q2,44,165.0,14,11
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-Q3,211,752.33,38,33
15060B,FAIRY CAKE DESIGN UMBRELLA,2011-Q4,40,140.14,10,9
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2010-Q1,36,9.0,2,2
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2010-Q3,74,18.5,3,2
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2010-Q4,155,38.75,12,12
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-Q1,92,23.0,2,2
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-Q2,313,37.45,6,6
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-Q3,854,102.48,28,22
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2011-Q4,1619,194.28,32,26
16010,FOLDING CAMPING SCISSOR W/KNIF & S,2010-Q1,2,0.24,1,1
16010,FOLDING CAMPING SCISSOR W/KNIF & S,2010-Q4,24,2.88,1,1
16010,FOLDING CAMPING SCISSOR W/KNIF & S,2011-Q1,18,2.16,2,2
16011,ANIMAL STICKERS,2009-Q4,216,45.36,6,6
16011,ANIMAL STICKERS,2010-Q1,320,66.0,12,12
16011,ANIMAL STICKERS,2010-Q2,416,87.36,14,12
16011,ANIMAL STICKERS,2010-Q3,468,98.28,10,9
16011,ANIMAL STICKERS,2010-Q4,783,164.43,28,26
16011,ANIMAL STICKERS,2011-Q1,410,86.1,9,7
16011,ANIMAL STICKERS,2011-Q2,313,65.73,7,6
16011,ANIMAL STICKERS,2011-Q3,429,90.09,11,11
16011,ANIMAL STICKERS,2011-Q4,503,105.63,15,14
16012,FOOD/DRINK SPUNGE STICKERS,2009-Q4,111,23.31,4,4
16012,FOOD/DRINK SPUNGE STICKERS,2010-Q1,552,114.72,12,12
16012,FOOD/DRINK SPUNGE STICKERS,2010-Q2,48,10.08,2,2
16012,FOOD/DRINK SPUNGE STICKERS,2010-Q3,360,75.6,11,10
16012,FOOD/DRINK SPONGE STICKERS,2010-Q4,730,153.3,22,21
16012,FOOD/DRINK SPONGE STICKERS,2011-Q1,504,105.84,10,9
16012,FOOD/DRINK SPONGE STICKERS,2011-Q2,185,38.85,6,6
16012,FOOD/DRINK SPONGE STICKERS,2011-Q3,218,45.78,6,6
16012,FOOD/DRINK SPONGE STICKERS,2011-Q4,193,40.53,9,9
16014,SMALL CHINESE STYLE SCISSOR,2009-Q4,4540,1454.8,5,4
16014,SMALL CHINESE STYLE SCISSOR,2010-Q1,1064,346.88,8,7
16014,SMALL CHINESE STYLE SCISSOR,2010-Q2,4125,1332.5,8,7
16014,SMALL CHINESE STYLE SCISSOR,2010-Q3,2121,690.82,9,9
16014,SMALL CHINESE STYLE SCISSOR,2010-Q4,6220,2010.4,14,11
16014,SMALL CHINESE STYLE SCISSOR,2011-Q1,2571,829.82,5,5
16014,SMALL CHINESE STYLE SCISSOR,2011-Q2,2826,924.92,13,12
16014,SMALL CHINESE STYLE SCISSOR,2011-Q3,3186,1038.12,15,14
16014,SMALL CHINESE STYLE SCISSOR,2011-Q4,3716,1210.72,15,12
16015,MEDIUM CHINESE STYLE SCISSOR,2009-Q4,73,33.7,4,4
16015,MEDIUM CHINESE STYLE SCISSOR,2010-Q1,94,47.0,9,8
16015,MEDIUM CHINESE STYLE SCISSOR,2010-Q2,232,102.0,7,7
16015,MEDIUM CHINESE STYLE SCISSOR,2010-Q3,411,191.5,12,12
16015,MEDIUM CHINESE STYLE SCISSOR,2010-Q4,122,58.2,11,10
16015,MEDIUM CHINESE STYLE SCISSOR,2011-Q1,191,95.5,5,5
16015,MEDIUM CHINESE STYLE SCISSOR,2011-Q2,376,146.98,9,8
16015,MEDIUM CHINESE STYLE SCISSOR,2011-Q3,24,12.0,3,2
16015,MEDIUM CHINESE STYLE SCISSOR,2011-Q4,50,25.0,5,5
16016,LARGE CHINESE STYLE SCISSOR,2009-Q4,40,31.4,3,2
16016,LARGE CHINESE STYLE SCISSOR,2010-Q1,272,205.2,8,7
16016,LARGE CHINESE STYLE SCISSOR,2010-Q2,186,152.9,10,10
16016,LARGE CHINESE STYLE SCISSOR,2010-Q3,472,370.0,13,12
16016,LARGE CHINESE STYLE SCISSOR,2010-Q4,116,96.0,11,11
16016,LARGE CHINESE STYLE SCISSOR,2011-Q1,433,342.05,10,10
16016,LARGE CHINESE STYLE SCISSOR,2011-Q2,365,307.65,16,14
16016,LARGE CHINESE STYLE SCISSOR,2011-Q3,187,158.95,17,15
16016,LARGE CHINESE STYLE SCISSOR,2011-Q4,260,221.0,17,14
16020C,CLEAR STATIONERY BOX SET,2009-Q4,12,10.2,1,1
16020C,CLEAR STATIONERY BOX SET,2010-Q1,1,0.85,1,1
16020C,CLEAR STATIONERY BOX SET,2010-Q2,23,19.55,6,6
16020C,CLEAR STATIONERY BOX SET,2010-Q3,30,25.5,8,8
16020C,CLEAR STATIONERY BOX SET,2010-Q4,10,8.5,6,6
16020C,CLEAR STATIONERY BOX SET,2011-Q1,2,1.7,1,1
16020C,CLEAR STATIONERY BOX SET,2011-Q2,4,3.4,1,1
16033,MINI HIGHLIGHTER PENS,2009-Q4,120,14.4,1,1
16033,MINI HIGHLIGHTER PENS,2010-Q1,3840,363.6,7,6
16033,MINI HIGHLIGHTER PENS,2010-Q2,7200,691.2,15,12
16033,MINI HIGHLIGHTER PENS,2010-Q3,1681,201.72,12,12
16033,MINI HIGHLIGHTER PENS,2010-Q4,1560,187.2,12,12
16033,MINI HIGHLIGHTER PENS,2011-Q1,600,72.0,2,2
16043,POP ART PUSH DOWN RUBBER,2009-Q4,24,10.08,1,1
16043,POP ART PUSH DOWN RUBBER,2010-Q1,24,10.08,1,1
16043,POP ART PUSH DOWN RUBBER,2010-Q2,74,31.08,4,4
16043,POP ART PUSH DOWN RUBBER,2010-Q3,1921,115.62,3,3
16043,POP ART PUSH DOWN RUBBER,2010-Q4,1,0.42,1,1
16043,POP ART PUSH DOWN RUBBER,2011-Q2,98,11.76,2,2
16044,POP-ART FLUORESCENT PENS,2010-Q1,6192,388.8,2,2
16045,POPART WOODEN PENCILS ASST,2010-Q1,100,12.0,1,1
16045,POPART WOODEN PENCILS ASST,2010-Q2,100,12.0,1,1
16045,POPART WOODEN PENCILS ASST,2010-Q3,100,12.0,1,1
16045,POPART WOODEN PENCILS ASST,2010-Q4,200,24.0,2,2
16045,POPART WOODEN PENCILS ASST,2011-Q1,200,24.0,2,2
16045,POPART WOODEN PENCILS ASST,2011-Q2,1200,48.0,8,8
16045,POPART WOODEN PENCILS ASST,2011-Q3,4500,180.0,31,29
16045,POPART WOODEN PENCILS ASST,2011-Q4,2900,116.0,26,24
16046,TEATIME PEN CASE & PENS,2009-Q4,98,19.94,3,3
16046,TEATIME PEN CASE & PENS,2010-Q1,232,70.48,6,6
16046,TEATIME PEN CASE & PENS,2010-Q2,112,31.84,4,4
16046,TEATIME PEN CASE & PENS,2010-Q3,9235,753.43,6,6
16046,TEATIME PEN CASE & PENS,2010-Q4,219,122.79,15,15
16046,TEATIME PEN CASE & PENS,2011-Q1,11,9.35,3,3
16046,TEATIME PEN CASE & PENS,2011-Q2,8,6.8,4,4
16046,TEATIME PEN CASE & PENS,2011-Q3,31,26.35,2,2
16046,TEATIME PEN CASE & PENS,2011-Q4,4,3.4,2,2
16047,POP ART PEN CASE & PENS,2009-Q4,15,12.75,3,3
16047,POP ART PEN CASE & PENS,2010-Q1,29,24.65,2,2
16047,POP ART PEN CASE & PENS,2010-Q2,29,24.65,4,4
16047,POP ART PEN CASE & PENS,2010-Q3,10391,848.99,7,7
16047,POP ART PEN CASE & PENS,2010-Q4,123,104.55,7,6
16048,TEATIME ROUND PENCIL SHARPENER,2009-Q4,51,21.42,4,4
16048,TEATIME ROUND PENCIL SHARPENER,2010-Q1,744,110.88,6,6
16048,TEATIME ROUND PENCIL SHARPENER,2010-Q2,241,43.62,5,5
16048,TEATIME ROUND PENCIL SHARPENER,2010-Q3,821,114.42,5,5
16048,TEATIME ROUND PENCIL SHARPENER,2010-Q4,144,31.68,3,3
16048,TEATIME ROUND PENCIL SHARPENER,2011-Q1,192,23.04,2,2
16048,TEATIME ROUND PENCIL SHARPENER,2011-Q2,408,56.16,6,5
16048,TEATIME ROUND PENCIL SHARPENER,2011-Q3,480,57.6,19,19
16048,TEATIME ROUND PENCIL SHARPENER,2011-Q4,332,39.84,19,19
16049,TEATIME GEL PENS ASST,2009-Q4,576,69.12,2,2
16049,TEATIME GEL PENS ASST,2010-Q1,1476,231.12,10,10
16049,TEATIME GEL PENS ASST,2010-Q2,324,49.68,3,3
16049,TEATIME GEL PENS ASST,2010-Q3,156,65.52,3,3
16049,TEATIME GEL PENS ASST,2010-Q4,108,45.36,2,2
16049,TEATIME GEL PENS ASST,2011-Q2,504,82.08,5,5
16050,TEATIME PENCIL WITH RUBBER,2010-Q1,100,25.0,2,2
16050,TEATIME PENCIL WITH RUBBER,2010-Q2,22,5.5,2,2
16051,TEATIME PENCIL W STAMP ASST,2009-Q4,36,15.12,1,1
16051,TEATIME PENCIL W STAMP ASST,2010-Q1,866,51.96,1,1
16051,TEATIME PENCIL W STAMP ASST,2010-Q2,36,15.12,1,1
16052,TEATIME PUSH DOWN RUBBER,2010-Q1,55,23.1,3,3
16052,TEATIME PUSH DOWN RUBBER,2010-Q2,120,50.4,5,5
16052,TEATIME PUSH DOWN RUBBER,2010-Q3,120,50.4,5,5
16052,TEATIME PUSH DOWN RUBBER,2010-Q4,48,20.16,2,2
16052,TEATIME PUSH DOWN RUBBER,2011-Q1,24,10.08,1,1
16052,TEATIME PUSH DOWN RUBBER,2011-Q2,443,95.21,5,5
16053,POPART COL BALLPOINT PEN ASST,2010-Q1,100,21.0,2,2
16053,POPART COL BALLPOINT PEN ASST,2010-Q2,100,21.0,2,2
16053,POPART COL BALLPOINT PEN ASST,2010-Q3,4000,120.0,2,2
16053,POPART COL BALLPOINT PEN ASST,2010-Q4,98,20.58,2,2
16054,POPART RECT PENCIL SHARPENER ASST,2010-Q1,1,0.42,1,1
16054,POPART RECT PENCIL SHARPENER ASST,2010-Q3,37,15.54,2,2
16054,POPART RECT PENCIL SHARPENER ASST,2010-Q4,3,1.26,2,1
16054,POPART RECT PENCIL SHARPENER ASST,2011-Q2,108,12.96,3,3
16054,POPART RECT PENCIL SHARPENER ASST,2011-Q3,436,52.32,12,12
16054,POPART RECT PENCIL SHARPENER ASST,2011-Q4,620,74.4,17,16
16119,FUNKY GIRL ADDRESS BOOK,2009-Q4,271,128.21,7,7
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,2010-Q2,3,11.25,2,2
16151A,FLOWERS HANDBAG blue and orange,2011-Q2,49,61.25,3,3
16156L,"WRAP, CAROUSEL",2010-Q1,250,105.0,9,9
16156L,"WRAP, CAROUSEL",2010-Q2,50,21.0,2,2
16156L,"WRAP, CAROUSEL",2010-Q3,100,42.0,4,4
16156L,"WRAP, CAROUSEL",2010-Q4,75,31.5,3,3
16156L,"WRAP, CAROUSEL",2011-Q1,125,52.5,5,5
16156L,WRAP CAROUSEL,2011-Q2,150,63.0,6,6
16156L,WRAP CAROUSEL,2011-Q3,150,63.0,5,5
